title,author,ISBN,ISBN13,rating,avg_rating,publisher,binding,number_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshleves_with_position,exclusive_shelf,my_review,open_library_url_info_ISBN,open_library_url_info_ISBN13,notes,recommendation_from
La Voie du sentir,Robert Eymeri,,,5.0,4.0,Editions du Relié,Kindle Edition,350,2015.0,2015.0,2018/09/07,2018/08/27,,,read,,,https://vidaruamarcosportugal.github.io/book_notes/la_voie_du_sentir.html,,
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,1572245379,9781572245372.0,3.0,4.24,New Harbinger Publications,Paperback,200,2007.0,2007.0,2018/08/30,2018/06/02,,,read,,https://openlibrary.org/books/OL12203904M/The_Untethered_Soul,https://openlibrary.org/books/OL12203904M/The_Untethered_Soul,,
Les chants mêlés de la Terre et de l'Humanité,Jean-Claude Ameisen,,,4.0,4.33,Editions de l'Aube,Kindle Edition,112,2015.0,,2018/08/05,2018/07/23,,,read,,,,,
Sample !,Brice Miclet,2360544969,9782360544967.0,4.0,0.0,Le mot et le reste ,Paperback,256,2018.0,,2018/06/05,2018/06/05,,,read,,,,,
Fief,David López,,9782021362152.0,5.0,3.87,Seuil,Paperback,252,2017.0,2017.0,2018/06/05,2017/09/17,,,read,,,https://openlibrary.org/books/OL26943474M/Fief,,
My Friend Dahmer,Derf Backderf,1419702173,9781419702174.0,5.0,3.93,Abrams Books,Paperback,224,2012.0,2012.0,2018/05/20,2018/05/20,,,read,,https://openlibrary.org/books/OL26073238M/My_Friend_Dahmer,https://openlibrary.org/books/OL26073238M/My_Friend_Dahmer,,
L'Homme gribouillé,Serge Lehman,,,3.0,3.91,Delcourt,Kindle Edition,328,2018.0,2018.0,2018/05/13,2018/05/13,,,read,,,,,
Le vieil homme et la mer,Ernest Hemingway,2070360075,9782070360079.0,4.0,3.77,Folio,Mass Market Paperback,148,1999.0,1951.0,2018/05/10,2018/05/11,,,read,,https://openlibrary.org/books/OL21768388M/Le_vieil_homme_et_la_mer,https://openlibrary.org/books/OL21768388M/Le_vieil_homme_et_la_mer,,
Jours barbares,William Finnegan,,,5.0,4.21,Sous-Sol,Kindle Edition,528,2017.0,2015.0,2018/04/30,2017/09/16,,,read,,,,,
La Magicienne (Les vieux fourneaux - tome 4),Wilfrid Lupano,250506542X,9782505065425.0,5.0,4.28,Dargaud,Hardcover,56,2017.0,2017.0,2018/03/19,2018/03/18,,,read,,,,,
Celui qui part (Les vieux fourneaux - tome 3),Wilfrid Lupano,2505063524,9782505063520.0,5.0,4.33,Dargaud,Hardcover,64,2015.0,2015.0,2018/03/19,2018/03/18,,,read,,,,,
Bonny and Pierrot (Les Vieux Fourneaux - tome 2),Wilfrid Lupano,2505061637,9782505061632.0,5.0,4.3,Dargaud,Hardcover,56,2014.0,2014.0,2018/03/18,2018/03/18,,,read,,,,,
Ceux qui restent  (Les vieux fourneaux - tome 1),Wilfrid Lupano,2505019932,9782505019930.0,5.0,4.28,Dargaud,Hardcover,56,2014.0,2014.0,2018/03/18,2018/03/18,,,read,,,,,
Le guide du mauvais père,Guy Delisle,2756038733,9782756038735.0,4.0,3.56,Editions Delcourt,Paperback,192,2013.0,2013.0,2018/03/18,2018/03/18,,,read,,,,,
L'Aimant,Lucas Harari,2848659866,9782848659862.0,3.0,3.81,Sarbacane,Hardcover,152,2017.0,2017.0,2018/03/13,2018/03/14,,,read,,,,,
A la verticale de soi,Stéphanie Bodet,2352211824,9782352211822.0,4.0,4.3,Guerin Eds,Mass Market Paperback,294,2016.0,,2017/12/30,2017/10/26,,,read,,,,,
Notre histoire. Pingru et Meitang,Rao Pingru,,,5.0,4.02,Le Seuil,Kindle Edition,,2017.0,2013.0,2017/10/31,2017/07/30,,,read,,,,,
La vie secrète des arbres,Peter Wohlleben,2352045932,9782352045939.0,4.0,4.05,Les Arenes,Paperback,253,2017.0,2015.0,2017/08/19,2017/08/02,,,read,,,,,
Lulu Femme Nue 1,Étienne Davodeau,2754801022,9782754801027.0,3.0,3.9,Futuropolis,Board book,78,2008.0,,2017/07/28,2017/07/28,,,read,,,,,
Rural ! Chronique d'une Collision Politique,Étienne Davodeau,2840555832,9782840555834.0,3.0,3.84,Delcourt,Paperback,139,2001.0,2001.0,2017/07/20,2017/07/28,,,read,,https://openlibrary.org/books/OL12611655M/Rural_!_Chronique_d'une_collision_politique,https://openlibrary.org/books/OL12611655M/Rural_!_Chronique_d'une_collision_politique,,
The Complete Maus,Art Spiegelman,141014083,9780141014081.0,5.0,4.55,Penguin Books,Paperback,296,2003.0,1986.0,2017/03/18,2016/12/28,,,read,,,https://openlibrary.org/books/OL22588193M/COMPLETE_MAUS_MY_FATHER_BLEEDS_HISTORY_AND_HERE_MY_TROUBLES_BEGAN,,
Thinking Fast and Slow,Daniel Kahneman,374275637,9780374275631.0,0.0,4.15,Farrar, Straus and Giroux,Hardcover,499.0,2011.0,2017/03/18,,,not-finished,currently-reading (#3),,,,,
Signs Preceding the End of the World,Yuri Herrera,1908276428,9781908276421.0,3.0,3.92,And Other Stories,Paperback,114,2015.0,2009.0,2017/03/06,2016/08/22,,,read,,https://openlibrary.org/books/OL26221252M/SIgns_proceeding_the_end_of_the_world,https://openlibrary.org/books/OL26221252M/SIgns_proceeding_the_end_of_the_world,,
The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,1878424505,9781878424501.0,2.0,4.15,Amber-Allen Publishing,Hardcover,168,2001.0,1997.0,2017/02/09,2017/02/05,,,read,,https://openlibrary.org/books/OL8674394M/The_Four_Agreements,https://openlibrary.org/books/OL8674394M/The_Four_Agreements,,
Dans la lumière et les ombres: Darwin et le bouleversement du monde,Jean-Claude Ameisen,2213638004,9782213638003.0,3.0,4.0,Fayard,Hardcover,489,2008.0,2008.0,2017/02/05,2015/12/20,,,read,,https://openlibrary.org/books/OL23050473M/Dans_la_lumi\u00e8re_et_les_ombres,https://openlibrary.org/books/OL23050473M/Dans_la_lumi\u00e8re_et_les_ombres,,
Better Presentations: A Guide for Scholars, Jonathan Schwabish,,231175205.0,0.0,0.0,4.25,Columbia University Press,Hardcover,192.0,2016.0,2017/01/27,2017/01/27,,to-read,to-read (#52),to-read,,,,
Petit pays,Gaël Faye,2246857333,9782246857334.0,4.0,4.23,Grasset,Paperback,224,2016.0,2016.0,2017/01/05,2016/12/25,,,read,,https://openlibrary.org/books/OL27231823M/Petit_pays,https://openlibrary.org/books/OL27231823M/Petit_pays,,
Un océan d'amour,Wilfrid Lupano,2756062103,9782756062105.0,5.0,4.34,Delcourt,Hardcover,224,2014.0,2014.0,2017/01/02,2019/01/02,,,read,,,,,
Les ignorants. Récit d'une initiation croisée,Étienne Davodeau,2754803823,9782754803823.0,5.0,4.19,Futuropolis,Hardcover,272,2011.0,2011.0,2016/12/29,2016/12/28,,,read,,https://openlibrary.org/books/OL25295543M/Les_ignorants,https://openlibrary.org/books/OL25295543M/Les_ignorants,,
Here,Richard McGuire,241145961,9780241145968.0,5.0,4.19,Hamish Hamilton,Hardcover,304,2014.0,2014.0,2016/12/25,2016/12/25,,,read,,,,,
L'histoire de Saul Miller (Melvile #2),Romain Renard,,9782803635702.0,3.0,3.76,,Hardcover,208,2016.0,2016.0,2016/10/26,2016/10/26,,,read,,,,,
Les Culottées,Pénélope Bagieu,,,4.0,4.61,,,141,2016.0,2016.0,2016/10/24,2016/10/24,,,read,,,,,
Building Stories,Chris Ware,375424334,9780375424335.0,5.0,4.3,Pantheon,Hardcover,260,2012.0,2012.0,2016/10/01,2016/08/23,bd,bd (#12),read,,,https://openlibrary.org/books/OL25238632M/Building_stories,,
Python for Data Analysis,Wes McKinney,1449319793,9781449319793.0,4.0,4.12,O'Reilly Media,Paperback,400,2012.0,2011.0,2016/09/01,2016/01/31,,,read,,https://openlibrary.org/books/OL26005473M/Python_For_Data_Analysis,https://openlibrary.org/books/OL26005473M/Python_For_Data_Analysis,,
La légèreté,Catherine Meurisse,2205075667,9782205075663.0,5.0,4.12,Dargaud,Hardcover,136,2016.0,2016.0,2016/08/29,2016/08/29,,,read,,,,,
Melvile : L'histoire de Samuel Beauclair,Romain Renard,2803632926,9782803632923.0,4.0,4.15,Le Lombard,Hardcover,136,2013.0,2013.0,2016/08/23,2016/08/23,,,read,,,,,
Qui est l'ennemi ?,Jean-Yves Le Drian,,,3.0,4.0,Editions du Cerf,Kindle Edition,35,2016.0,,2016/08/21,2016/08/18,,,read,,,,,
La Végétarienne,Han Kang,,9791094680032.0,4.0,3.58,Le Serpent à plumes / L'Aube,Paperback,201,2015.0,2007.0,2016/08/19,2016/08/16,,,read,,,,,
Les Belles Endormies,Yasunari Kawabata,2253029890,9782253029892.0,3.0,3.6,Le Livre de Poche,Mass Market Paperback,125,1982.0,1961.0,2016/08/13,2016/08/13,,,read,,https://openlibrary.org/books/OL8887388M/Les_Belles_Endormies,https://openlibrary.org/books/OL8887388M/Les_Belles_Endormies,,
Voyage aux îles de la Désolation,Emmanuel Lepage,2754804242,9782754804240.0,5.0,4.43,Futuropolis,Hardcover,157,2011.0,2011.0,2016/08/06,2016/07/27,,,read,,,,,
Radioactive: Marie and Pierre Curie,Lauren Redniss,61351326,9780061351327.0,5.0,4.02,It Books,Hardcover,208,2010.0,2010.0,2016/07/27,2016/07/24,,,read,,,,,
Lupus Tome2,Frederik Peeters,8392442684,9788392442684.0,4.0,3.99,Post,Paperback,92,2009.0,2003.0,2016/07/09,2016/07/09,,,read,,,,,
Lupus Tome1,Frederik Peeters,8391914259,,4.0,3.99,Post,Paperback,94,2005.0,2002.0,2016/07/09,2016/07/09,,,read,,,,,
L'empire des signes,Roland Barthes,2757806459,9782757806456.0,4.0,3.9,Seuil,Paperback,176,2007.0,1970.0,2016/05/15,2016/05/21,,,read,,https://openlibrary.org/books/OL25175257M/L'_empire_des_signes,https://openlibrary.org/books/OL25175257M/L'_empire_des_signes,,
The 15 Commitments of Conscious Leadership,Jim Dethmer,,,3.0,4.19,,Kindle Edition,376,2015.0,2015.0,2016/03/26,2015/04/07,personal-development,personal-development (#6),read,,,,,
L'Arabe du futur 2 : Une jeunesse au Moyen-Orient,Riad Sattouf,2370730544,9782370730541.0,4.0,4.21,Allary Éditions,Paperback,158,2015.0,2015.0,2016/01/02,2016/01/02,,,read,,https://openlibrary.org/books/OL27204467M/L'Arabe_du_futur,,,
On the Move: A Life,Oliver Sacks,345808967,9780345808967.0,5.0,4.07,Knopf Canada,Hardcover,397,2015.0,2015.0,2016/01/01,2015/06/22,,,read,,,,,
Economix,Michael    Goodwin,2352042437,9782352042433.0,5.0,4.32,Les arènes,Paperback,304,2013.0,2012.0,2015/12/21,2015/12/20,,,read,,,,,
Chroniques birmanes,Guy Delisle,2756009334,9782756009339.0,4.0,3.99,Delcourt,Broché,263,2007.0,2007.0,2015/12/06,2015/12/06,,,read,,https://openlibrary.org/books/OL25769998M/Chroniques_birmanes,https://openlibrary.org/books/OL25769998M/Chroniques_birmanes,,
Data Smart: Using Data Science to Transform Information into Insight,John W. Foreman,111866146X,9781118661468.0,0.0,4.16,John Wiley & Sons,Paperback,409,2013.0,2013.0,2015/12/01,2015/05/05,,,read,,https://openlibrary.org/books/OL25881621M/Data_Smart,https://openlibrary.org/books/OL25881621M/Data_Smart,,
Mindset: How You Can Fulfil Your Potential,Carol S. Dweck,,9781780332000.0,3.0,4.07,Robinson,Paperback,301,2017.0,2006.0,2015/12/01,2015/01/04,,,read,,,,,
L'attrape-cœurs,J.D. Salinger,2266125354,9782266125352.0,4.0,3.8,Pocket,Mass Market Paperback,253,2007.0,1951.0,2015/08/22,2015/08/22,,,read,,https://openlibrary.org/books/OL8890450M/L'Attrape-Coeurs,https://openlibrary.org/books/OL8890450M/L'Attrape-Coeurs,,
Retrouver l'aube (Sur les épaules de Darwin 3),Jean-Claude Ameisen,,,4.0,4.39,Éditions Les Liens qui libèrent,Kindle Edition,448,2014.0,2014.0,2015/08/14,2015/07/17,,,read,,,,,
Le Joueur d'échecs,Stefan Zweig,,,4.0,4.29,Le Livre de Poche,Kindle Edition,46,2015.0,1942.0,2015/08/03,2015/08/10,,,read,,,,,
Cinq mille kilomètres par seconde,Manuele Fior,2940329648,9782940329649.0,2.0,3.61,Atrabile,Paperback,144,2010.0,2009.0,2015/07/19,2015/07/19,bd,bd (#11),read,,,,,
Persepolis: The Story of a Childhood,Marjane Satrapi,037571457X,9780375714573.0,0.0,4.25,Pantheon,Paperback,153,2004.0,2000.0,2015/07/17,2015/07/17,,,read,,https://openlibrary.org/books/OL22133101M/Persepolis,,,
Journal d'Italie,David B.,2756009318,9782756009315.0,2.0,3.23,Editions Delcourt,Paperback,152,2010.0,2010.0,2015/07/01,2015/07/19,bd,bd (#10),,,,,,
Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,385347375,9780385347372.0,3.0,3.74,Crown,Hardcover,304,2014.0,2014.0,2015/04/06,2015/03/05,web,web (#6),read,Fascinating and scaring at times (we human are crazy...). Cool visions developed for a very interesting discipline.,,https://openlibrary.org/books/OL27162751M/Dataclysm,,
The Icarus Deception: How High Will You Fly?,Seth Godin,1591846072,9781591846079.0,3.0,3.97,Portfolio,Hardcover,256,2012.0,2012.0,2015/03/15,2013/01/03,personal-development,personal-development (#5),read,Empowerment and well,https://openlibrary.org/books/OL26059886M/The_Icarus_Deception_How_High_Will_You_Fly,https://openlibrary.org/books/OL26059886M/The_Icarus_Deception_How_High_Will_You_Fly,,
La lune est blanche,Emmanuel Lepage,,9782754810289.0,4.0,4.35,Futuropolis,,256,2014.0,2014.0,2015/03/08,2015/03/08,bd,bd (#9),read,A lire avant d'aller dormir,,,,
V is for Vulnerable: An Alphabet for People Who Want to Make a Difference,Seth Godin,1591846102,9781591846109.0,3.0,3.89,Portfolio Hardcover,Hardcover,64,2012.0,2012.0,2015/03/01,2015/02/21,personal-development,personal-development (#4),read,,https://openlibrary.org/books/OL26068825M/V_Is_For_Vulnerable_Life_Outside_The_Comfort_Zone,https://openlibrary.org/books/OL26068825M/V_Is_For_Vulnerable_Life_Outside_The_Comfort_Zone,,
The Accidental Universe: The World You Thought You Knew,Alan Lightman,034580595X,9780345805959.0,3.0,3.83,Vintage,Paperback,176,2014.0,2013.0,2015/01/09,2014/12/29,science,science (#6),read,,https://openlibrary.org/books/OL26241437M/The_Accidental_Universe,https://openlibrary.org/books/OL26241437M/The_Accidental_Universe,,
Eloquent JavaScript: A Modern Introduction to Programming,Marijn Haverbeke,1593272820,9781593272821.0,0.0,4.14,No Starch Press,Paperback,224,2011.0,2010.0,2015/01/01,2014/10/20,,,read,,https://openlibrary.org/books/OL24411757M/Eloquent_Javascript,https://openlibrary.org/books/OL24411757M/Eloquent_Javascript,,
Mémé,Philippe Torreton,2913366619,9782913366619.0,5.0,3.94,L'iconoclaste,Paperback,144,2014.0,2014.0,2014/12/23,2014/02/07,,,read,Miss u Mémé.,,,,
Love in vain : Robert Johnson 1911-1938,J.M. Dupont,,9782344003398.0,5.0,3.87,Glénat,Hardcover,64,2014.0,2014.0,2014/12/10,2014/12/09,,,read,Aesthetic beauty,,,,
Come prima,Alfred,2756031526,9782756031521.0,5.0,4.05,DELCOURT/MIRAGES,Hardcover,223,2013.0,2013.0,2014/12/01,2014/12/07,bd,bd (#8),read,,,,,
Descartes' Error: Emotion Reason and the Human Brain,António R. Damásio,014303622X,9780143036227.0,4.0,3.97,Penguin Books Ltd,Paperback,336,2005.0,1994.0,2014/08/01,2013/08/11,neurology, science,neurology (#4),,https://openlibrary.org/books/OL22760084M/Descartes'_error,,,
The Quantum Universe: Everything That Can Happen Does Happen,Brian Cox,1846144329,9781846144325.0,0.0,3.77,Allen Lane,Hardcover,256,2011.0,2011.0,2014/07/19,2012/12/28,,,read,,https://openlibrary.org/books/OL25207801M/The_Quantum_Universe,https://openlibrary.org/books/OL25207801M/The_Quantum_Universe,,
The Design of Everyday Things,Donald A. Norman,465067107,9780465067107.0,3.0,4.17,Basic Books,Paperback,240,2002.0,1988.0,2014/06/01,2012/12/26,,,read,,,https://openlibrary.org/books/OL3702614M/The_design_of_everyday_things,,
Neurocomic,Hana Ros,1907704701,9781907704703.0,5.0,3.62,Nobrow Press,Hardcover,144,2014.0,2013.0,2014/04/14,2014/04/13,science, neurology, bd,science (#3),https://openlibrary.org/books/OL27160262M/Neurocomic,https://openlibrary.org/books/OL27160262M/Neurocomic,,
Are You My Mother? A Comic Drama,Alison Bechdel,618982507,9780618982509.0,1.0,3.69,Houghton Mifflin,Hardcover,290,2012.0,2012.0,2014/04/13,2014/04/13,,,read,,,https://openlibrary.org/books/OL25247569M/Are_you_my_mother,,
Designing for Emotion,Aarron Walter,,9781937557003.0,4.0,3.98,A Book Apart,Paperback,104,2011.0,2011.0,2014/03/01,2014/12/08,design,design (#1),read,,,https://openlibrary.org/books/OL25083437M/Designing_For_Emotion,,
Hallucinations,Oliver Sacks,307957241,9780307957245.0,4.0,3.88,Knopf,Hardcover,326,2012.0,2012.0,2014/03/01,2013/01/03,,,read,,,https://openlibrary.org/books/OL25190272M/Hallucinations,,
Je t’offrirai des spectacles admirables,Jean-Claude Ameisen,1020900660,9791020900661.0,5.0,4.19,Les Liens qui Libèrent,Paperback,448,2013.0,2013.0,2014/02/22,2013/12/01,,,read,,,,,
Fun Home: A Family Tragicomic,Alison Bechdel,618477942,9780618477944.0,4.0,4.08,Houghton Mifflin Company,Hardcover,240,2006.0,2006.0,2014/01/01,2014/04/13,bd,bd (#7),read,,,https://openlibrary.org/books/OL25888386M/Fun_Home,,
New York: The Big City,Will Eisner,393328058,9780393328059.0,3.0,4.14,W. W. Norton  Company,Paperback,160,2007.0,1986.0,2014/01/01,2014/01/21,bd,bd (#5),read,,,https://openlibrary.org/books/OL9591818M/New_York,,
The Furniture of Charles and Ray Eames,Rolf Fehlbaum,3931936740,9783931936747.0,0.0,4.67,Vitra Design Museum,Hardcover,159,2013.0,2007.0,2014/01/01,2013/09/08,,,read,,https://openlibrary.org/books/OL16782159M/The_furniture_of_Charles_and_Ray_Eames,https://openlibrary.org/books/OL16782159M/The_furniture_of_Charles_and_Ray_Eames,,
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,307887898,9780307887894.0,0.0,4.08,Currency,Hardcover,299,2011.0,2011.0,2013/12/14,2013/11/07,,,read,,,https://openlibrary.org/books/OL24982481M/The_Lean_Startup,,
Design Is a Job,Mike Monteiro,1937557049,9781937557041.0,3.0,4.23,A Book Apart,Paperback,135,2012.0,2012.0,2013/12/01,2014/12/08,design,design (#2),read,,https://openlibrary.org/books/OL25420476M/Design_Is_a_Job,https://openlibrary.org/books/OL25420476M/Design_Is_a_Job,,
Dieu en personne,Marc-Antoine Mathieu,2756014877,9782756014876.0,3.0,3.41,Delcourt,Hardcover,123,2009.0,2009.0,2013/09/01,2013/09/08,bd,bd (#4),read,,,,,
The Blue Bottle Craft of Coffee,James Freeman,1607741180,9781607741183.0,3.0,4.13,Ten Speed Press,Hardcover,240,2012.0,2012.0,2013/09/01,2013/02/28,,,,,,,,
How to Stay Sane,Philippa Perry,1447202309,9781447202301.0,4.0,3.74,Pan Publishing,Paperback,160,2012.0,2012.0,2013/08/01,2013/08/22,personal-development,personal-development (#3),read,,https://openlibrary.org/books/OL25327282M/How_to_Stay_Sane,https://openlibrary.org/books/OL25327282M/How_to_Stay_Sane,,
Siddhartha,Hermann Hesse,,,5.0,4.02,Bantam Books,Mass Market Paperback,152,1981.0,1922.0,2013/07/01,2013/07/10,romans, personal-development,romans (#10),personal-development (#2),,,,
Just Kids,Patti Smith,006621131X,9780066211312.0,5.0,4.15,Ecco,Hardcover,304,2010.0,2010.0,2013/06/01,2013/06/08,biography,biography (#4),read,,https://openlibrary.org/books/OL24439040M/Just_kids,https://openlibrary.org/books/OL24439040M/Just_kids,,
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,224063979,9780224063975.0,5.0,4.09,Jonathan Cape,Paperback,380,2003.0,2000.0,2013/04/01,2013/03/12,bd,bd (#3),read,,,https://openlibrary.org/books/OL7414588M/Jimmy_Corrigan,,
Les battements du temps,Jean-Claude Ameisen,1020900113,9791020900111.0,4.0,3.98,Les Liens Qui Liberent ,Paperback,444,2012.0,2012.0,2013/02/01,2013/02/17,science,science (#2),read,,,https://openlibrary.org/books/OL25427066M/Sur_les_\u00e9paules_de_Darwin_-_Les_battements_du_temps,,
Asterios Polyp,David Mazzucchelli,307377326,9780307377326.0,4.0,4.19,Pantheon,Hardcover,344,2009.0,2009.0,2013/02/01,2013/01/24,bd,bd (#2),read,,,https://openlibrary.org/books/OL16944442M/Asterios_polyp,,
La Meilleure Façon de manger: Le premier guide alimentaire basé sur la science (guides pratiques) (French Edition),Collectif,,9782916878737.0,5.0,5.0,Thierry Souccar,Kindle Edition,144,2011.0,2011.0,2013/01/01,2014/10/20,science,science (#5),read,,,,,
The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,V.S. Ramachandran,393077829,9780393077827.0,4.0,4.14,W. W. Norton  Company,Hardcover,384,2011.0,2011.0,2013/01/01,2012/09/10,neurology, science,neurology (#2),science (#1),,https://openlibrary.org/books/OL24548436M/The_Tell-Tale_Brain,,
On the Road,Jack Kerouac,140042598,9780140042597.0,3.0,3.62,Penguin Books,Paperback,307,1976.0,1957.0,2012/08/01,2012/09/10,,,read,,,https://openlibrary.org/books/OL16836533M/On_the_road,,
Musicophilia: Tales of Music and the Brain,Oliver Sacks,676979785,9780676979787.0,5.0,3.91,Knopf Canada,Hardcover,400,2007.0,2007.0,2012/06/01,2012/06/16,music, neurology,music (#1),neurology (#1),,https://openlibrary.org/books/OL9627554M/Musicophilia,,
Ergonomie web: Pour des sites web efficaces,Amélie Boucher,2212124791,9782212124798.0,4.0,3.92,Eyrolles,,455,,2007.0,2012/01/01,2013/12/16,web,web (#4),read,,https://openlibrary.org/books/OL27036990M/Ergonomie_Web,https://openlibrary.org/books/OL27036990M/Ergonomie_Web,,
Ergonomie web illustrée: 60 sites à la loupe,Amélie Boucher,2212126956,9782212126952.0,4.0,4.5,,,,,,2012/01/01,2013/12/16,web,web (#5),read,,,,,
Rocket Surgery Made Easy,Steve Krug,321657292,9780321657299.0,3.0,4.11,New Riders Publishing,Paperback,161,2009.0,2009.0,2012/01/01,2013/12/01,,,read,,,https://openlibrary.org/books/OL25941413M/Rocket_Surgery_Made_Easy,,
The Complete Persepolis,Marjane Satrapi,375714839,9780375714832.0,4.0,4.39,Pantheon Books,Paperback,341,2007.0,2003.0,2012/01/01,2012/01/30,bd,bd (#1),read,,,,,
What I Wish I Knew When I Was 20: A Crash Course on Making Your Place in the World,Tina Seelig,61872490,9780061872495.0,3.0,3.92,HarperOne,ebook,208,2009.0,2009.0,2011/12/01,2011/12/19,entrepreneurship, personal-development,entrepreneurship (#6),personal-development (#1),,https://openlibrary.org/books/OL24274574M/What_I_Wish_I_Knew_When_I_Was_20,,
La chambre claire: Note sur la photographie,Roland Barthes,207020541X,9782070205417.0,4.0,3.97,Gallimard,Hardcover,192,1980.0,1980.0,2011/10/01,2011/10/05,photography,photography (#1),read,,https://openlibrary.org/books/OL4136946M/La_chambre_claire,https://openlibrary.org/books/OL4136946M/La_chambre_claire,,
Getting Real,Jason Fried,578012812,9780578012810.0,4.0,4.0,37signals, LLC,Paperback,194.0,2006.0,2011/09/01,2011/09/05,,entrepreneurship,,,,,,
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,316010669,9780316010665.0,3.0,3.93,Back Bay Books,Paperback,296,2007.0,2005.0,2011/07/01,2011/07/30,economy,economy (#4),read,,,https://openlibrary.org/books/OL24055710M/Blink,,
The God of Small Things,Arundhati Roy,679457313,9780679457312.0,3.0,3.94,Random House,Hardcover,340,1997.0,1997.0,2011/07/01,2011/07/30,romans,romans (#9),read,,,https://openlibrary.org/books/OL1000299M/The_God_of_Small_Things,,
The Kite Runner,Khaled Hosseini,,,4.0,4.29,Riverhead Books,Paperback,371,2004.0,2003.0,2011/06/01,2011/07/06,romans,romans (#7),read,,,,,
Kafka sur le rivage,Haruki Murakami,226404473X,9782264044730.0,5.0,4.14,10/18,Mass Market Paperback,637,2008.0,2002.0,2011/06/01,2011/07/06,romans,romans (#8),read,,,,,
Your Brain at Work: Strategies for Overcoming Distraction,David Rock,61771295,9780061771293.0,4.0,4.12,Harper Business,Hardcover,246,2009.0,2009.0,2011/05/01,2010/12/13,entrepreneurship,entrepreneurship (#4),,,,,,
A History of Thailand,Chris  Baker,521016479,9780521016476.0,4.0,3.84,Cambridge University Press,Paperback,301,2005.0,2005.0,2011/02/21,2016/05/21,,,read,,,https://openlibrary.org/books/OL22621547M/HISTORY_OF_THAILAND.,,
Don't Make Me Think,Steve Krug,321344758,9780321344755.0,4.0,4.25,New Riders Publishing,Paperback,201,2005.0,2000.0,2011/01/01,2011/12/23,web,web (#3),read,,,https://openlibrary.org/books/OL15976008M/Don't_make_me_think!,,
Rework,Jason Fried,307463745,9780307463746.0,3.0,3.94,Crown Business,Hardcover,279,2010.0,2010.0,2011/01/01,2011/01/06,business, web, marketing, entrepreneurship,,https://openlibrary.org/books/OL24325627M/Rework,,
The Tipping Point,Malcolm Gladwell,316346624,9780316346627.0,4.0,3.97,Back Bay Books,Paperback,301,2002.0,2000.0,2011/01/01,2011/01/06,marketing,marketing (#4),read,,,https://openlibrary.org/books/OL21594367M/The_tipping_point,,
Hector and the Search for Happiness,François Lelord,1615731075,9781615731077.0,3.0,3.48,HighBridge Audio,Audio CD,134,2010.0,2002.0,2010/12/01,2010/12/01,,,read,,,,,
SuperFreakonomics: Global Cooling,Steven D. Levitt,60889578,9780060889579.0,3.0,3.99,William Morrow,Hardcover,270,2009.0,2009.0,2010/11/01,2010/11/08,economy,economy (#2),read,,,,,
The Miracle: The Epic Story of Asia's Quest for Wealth,Michael A. Schuman,61346691,9780061346699.0,4.0,4.2,Harper Business Paperbacks,Paperback,360,2010.0,2009.0,2010/10/01,2010/11/08,economy,economy (#1),read,,,https://openlibrary.org/books/OL24084550M/The_Miracle,,
Les Identités meurtrières,Amin Maalouf,2253150053,9782253150053.0,4.0,3.91,Livre de Poche,Paperback,189,2001.0,1998.0,2010/08/01,2010/11/08,,,read,,https://openlibrary.org/books/OL8888292M/Les_Identit\u00e9s_meurtri\u00e8res,https://openlibrary.org/books/OL8888292M/Les_Identit\u00e9s_meurtri\u00e8res,,
The Gambler,Fyodor Dostoyevsky,,,3.0,3.89,Modern Library,Paperback,188,2003.0,1866.0,2010/07/01,2010/11/08,romans,romans (#3),read,,,,,
Les Jardins de lumière,Amin Maalouf,2253061778,9782253061779.0,4.0,3.83,Livre de Poche,Mass Market Paperback,251,1992.0,1991.0,2010/06/01,2010/11/08,romans,romans (#2),read,,https://openlibrary.org/books/OL23013963M/Les_jardins_de_lumi\u00e8re,https://openlibrary.org/books/OL23013963M/Les_jardins_de_lumi\u00e8re,,
All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World,Seth Godin,1591841003,9781591841005.0,2.0,3.9,Portfolio,Hardcover,186,2005.0,2005.0,2009/12/01,2010/11/08,marketing, business,marketing (#2),business (#2),https://openlibrary.org/books/OL8858182M/All_Marketers_Are_Liars,https://openlibrary.org/books/OL8858182M/All_Marketers_Are_Liars,,
Monk,Laurent De Wilde,1569247404,9781569247402.0,4.0,3.83,Da Capo Press,Hardcover,224,1997.0,1996.0,2009/11/01,2010/11/08,biography,biography (#2),read,,https://openlibrary.org/books/OL689616M/Monk,https://openlibrary.org/books/OL689616M/Monk,,
The 4-Hour Work Week: Escape 9-5,Timothy Ferriss,786158964,9780786158966.0,3.0,3.88,Blackstone Audiobooks,Audio CD,,2007.0,2007.0,2009/10/01,2010/11/08,business, marketing,,,,,,
