title,author,ISBN,ISBN13,rating,avg_rating,publisher,binding,number_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshleves_with_position,exclusive_shelf,my_review,open_library_url_info_ISBN,open_library_url_info_ISBN13,notes,recommendation_from
Vous auriez aimé que vos parents lisent ce livre,Philippa Perry,,,,,,,,,,,2024/07/26,,,to-read,,,,,Céline Syritellis
Fondation,Isaac Asimov,,,,,,,,,,,2024/06/05,,,to-read,,,,,Clément Viktorovitch
La horde du contrevent,Alain Damasio,,,,,,,,,,,2024/06/05,,,to-read,,,,,Clément Viktorovitch
L'homme aux cercles bleus,Fred Vargas,,,,,,,,,,,2024/06/05,,,to-read,,,,,Clément Viktorovitch
Les voix du soir,Natalia Ginzburg,,,,,,,,,,,2024/05/29,,,to-read,,,,,La.nuit.sera.mots insta
Un peu plus loin,Guilhem « Pone » Gallart,,,,,,,,,,,2024/04/12,,,to-read,,,https://www.editions-jclattes.fr/livre/un-peu-plus-loin-9782709670173/?hbb-open=button0,,sample.fr
Handbook of Resilience in Children,Sam Goldstein / Robert B. Brooks,,,,,,,,,,,2024/03/13,,,to-read,,,https://www.goodreads.com/en/book/show/1533775,,Livre 'Good Inside' Dr Becky 
Atomic habits,James Clear,,,,,,,,,,,2024/01/02,,,to-read,,,https://jamesclear.com/atomic-habits,,Coach Will / Instagram
Triste Tigre,Neige Sinno,,,,,,,,,,,2023/10/12,,,to-read,,,https://fr.wikipedia.org/wiki/Triste_Tigre,,Podcast: dans la bibliothèque d'Alice Diop
La vie matérielle,Marguerite Duras,,,,,,,,,,,2023/10/12,,,to-read,,,https://fr.wikipedia.org/wiki/W_ou_le_Souvenir_d%27enfance,,Podcast: dans la bibliothèque d'Alice Diop
W ou le souvenir de l'enfance,Georges Pérec,,,,,,,,,,,2023/10/12,,,to-read,,,https://fr.wikipedia.org/wiki/W_ou_le_Souvenir_d%27enfance,,
Dirty weekend,Helen Zahavi,,,,,,,,,,,2023/10/12,,,to-read,,,,,Podcast : La matrescence
Guerris tes blessures,Nicoles Lepera,,,,,,,,,,,2023/10/12,,,to-read,,,,,Podcast : La matrescence Ep.151
La fête des mères,Richard Morgiève,,,,,,,,,,,2023/10/12,,,to-read,,,,,Podcast : Totemic avec Richard Morgiève
Les portes de la perception,Aldous Huxley,,,,,,,,,,,2023/10/12,,,to-read,,,,,Podcast : l'inconscient - Voyage au bout de l'inconscient avec les psychédéliques
Pourquoi l'amour ne suffit pas,Claude Halmos,,,,,,,,,,,2023/10/12,,,to-read,,,,,Podcast : C'est quoi l'amour maitresse
La pauvreté expliquée aux enfants,Esther Duflo,,,,,,,,,,,2023/10/12,,,to-read,,,https://www.radiofrance.fr/franceinter/podcasts/la-terre-au-carre/la-terre-au-carre-du-lundi-08-janvier-2024-6573674,,Podcast : C'est quoi l'amour maitresse
Une enfance en or,Osho,,,,,,,,,,,2023/10/12,,,to-read,,,https://almasta.ch/une-enfance-en-or/,,Podcast : C'est quoi l'amour maitresse
Deep work,Cal Newport,,,,,,,,,,,2023/12/06,,,to-read,,,https://www.goodreads.com/book/show/25744928-deep-work?from_search=true&from_srp=true&qid=oogv6Drcvu&rank=1,,Benjamin Dubreu / Linkedin
So good they can't ignore you,Cal Newport,,,,,,,,,,,2023/12/06,,,to-read,,,https://www.goodreads.com/book/show/13525945-so-good-they-can-t-ignore-you,,Benjamin Dubreu / Linkedin
L'art de l'oisiveté,Herman Hesse,,,,,,,,,,,2025/01/24,,,to-read,,,,,https://youtu.be/MbE2DcU0znE?t=937
L'éloge de l'oisiveté,Bertrand Russell,,,,,,,,,,,2023/12/04,,,to-read,,,https://fr.wikipedia.org/wiki/%C3%89loge_de_l%27oisivet%C3%A9,,
Guérir grâce à la neuroplasticité,Norman Doidge,,,,,,,,,,,2023/06/10,,,to-read,,,https://www.amazon.com/Gu%C3%A9rir-gr%C3%A2ce-neuroplasticit%C3%A9-remarquables-lavant-garde/dp/2266277065/ref=tmm_other_meta_binding_swatch_0?_encoding=UTF8&qid=1686404896&sr=8-1,,
Regarde...ton enfant est competent,Jesper Juul,,,,,,,,,,,2023/06/08,,,to-read,,,https://www.amazon.fr/Regarde-ton-enfant-est-comp%C3%A9tent/dp/2850089060/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3VF7S3HNG25EM&keywords=jesper+jull&qid=1686220450&sprefix=jesper+jull%2Caps%2C104&sr=8-2#customerReviews,,
